ФИО;Факультет;Специальность;Число баллов
ITVLJJOTTMMSAYJDPXECUTWYJBMTOPXMTMTXETQYHR;LEDECMSDABPPFGUFHIQWGFYUCJGAUUQBFBMPSBPJHLINTNMLUFXSAKTLG;VDWWMRBOYUWALDTKPLFGLKTVAIWEGDQIQTJETSFU;306
JVUCMNXFRVSBIIDQWZSWQXDJEYCOPTPYQ;BGUJODAGWZDZIB;OVHMGAVXFDYTTCBIWYTLOSUQMGYYKDJCM;306
LILJEERESGLNXSSUEPSYQVIQDBDPOBIISJUUXTBZPLPA;KOSXJQUFKELFNOLSCBDRZUPHEJLUBMLEVVJSWNYSGTRJDLUBAI;ZLDRPWNTPAKLORBPPCPBYLZGKDQXKGSY;306
OHUJTXCHGCGINWPDHEMIEJFGZQUXDZNJSRSWKKRONCDDUDJZRARRZBQSOZI;UWIRUAOFIEEZRWTQSJYOFEICAGYVFWXXQUKDYVLSPWQZLVCRG;QGUHFLEOGDFONRP;306
ROUVYPWHIZBHSUCUOLZKDGVNSNBXSEWQSUQHEIYDFDJEAYOHSM;YUZPLCHWAFSZKGTAGJJNATRJERQZTWEEQYOWJFOVGTRDJK;LNIGUXZPGOSCKVZJJKJWYFUVTOEWXXIJZQFJCXCMWDMEZJX;306
SIPDUDQQDEHPHQDGZDAHOKBLXHRYFFAMBLTCXIDBITM;SMDADVDPILOHRFJLY;YERVLTGENSTRKDMMQXTAITMYFXEEBYUVFIYFVTNTMLZIXD;306
SZBSVJHODFUJGBFWXCUMKGAAGFHZHXQPRYCM;LBNQFKZVOUBAJGIE;NKGHQZFNMISSSSVYRPKNCYO;306
VXGCMFCNJKITJDSUVUQTDWCFPQZZVUWRWRFFXXWXCHXMCJXLV;EEYHFNWZJV;DIRUYXPETNCZJ;306
WRSIUKGTLCJQPLAKR;AZJYNCEFDMOECVRIBBQDRHMYOQESNNAEKUDRAMBLX;EPMQIGEEUBLFHRENPZA;306
XRDYPTOUUAAQJZDWRXFMPSUQFDPUEPVHCDGYCRE;KBBMXARJTWJ;KDFCQTKBNDWVYGDNWBA;306
YNFBHEGCRDNFHLTIMDQJVETSPUWMZDUDFECKSQJXJQCL;ICZYLOQTXJDVZWQVIUBEZIABHBQNBREDTSJOGHWYNLFMSSFMZFEECH;TGHALJLWVEGWIXZPQNHVXQVXPZHJMQMTRIGIZIWJVTHK;306
BHEPLKOLSPEDDECWUQCCEIKILWLEQJCOTODJHISNPAKPBM;ZNATNCKTKKGKZRGOVVTBFFQXJABELJIRWGDUKPDDKMWWWMXHXSA;GSZKZPQJUUFHHNFXEEQDF;305
CQXOYTNZOZJRIBXPNL;NWZMQJQPYFQSVKDMSUVVTBNCYQ;XNDTIMNCLYECLEMGDPMNAMDIKZAYY;305
GJNGZANFRRZZXQSNSNNIMCAQYDSXJYCQMNHPYBVFQFTHUYW;SILQKQLMBXGGTHIWGCUMFSDNWMDRDEMXOWCANBBEFRWAFPPNZMZIT;VVDLOKGCXQUMSQOPAIEHADA;305
HEIROFWOKTNDLUMGOYZTULXVGXWYBBLPRHVUJTQHJKFDQYMKWSB;BPDPNGENANQFJTICHCEQYOOBNNYOMWFXPYTZGFJLUVBPLWIAPMZQDCD;WLSPCBNNPKPQNBKDNUIEUIXEVDFYMSXCYIGEHSIDBMRWENCPU;305
IXJEJCUJYKBVGYRNFENZXIFLEPEQUIAWOKJ;DQVOJWRIIBRXGTXDLEOCUBU;XJMMCKZZHQTPLVSDBTFEJTCDOXSYQEILIYXMPMCNACBJQNCTFLTMMWCVM;305
JLDVCGBYDDRPGBFGSRQKRUZVMFRYZDYRTWPEBQRIBMQRC;NRIWNCTTPWFEYFDJB;EWDRFDMBCPUTTNJNCFFJXDJV;305
KCAZCWOJAAQDPNSDRSKSVQUCGK;OEPLEVBMALIWZTJWJXMTHEDEUFF;MPOHSBUYMQ;305
OAMNAGOSPVEBCHGRFROUUHCVFWERL;MRZWGHYPTUWJFLXSMRIINALFVEFOJIFFVKOLNO;HRTXVXANGCFERNTNWXMSHZADDRRFIACHUJPUXMOFDTMBRZMY;305
PFABCFWMOGXFCPPVZZLBAMXMRCVJIAOMXWPJWBYBCCSWSEG;VXIBPDPRSZCPDBSRLTVMWYCCKAAGJVTYQCVAB;ISZDYYOSFMHFCNSMJYKBJLWXZSJQMTBWBDGPZQ;305
QOTWOJTTNZUVUTYKKOGYYXKEKTMQNJCLWQ;RUMPGBYIZFYMKXWEGOIMRULRXGWRYHMVU;YVOEZJSXMLPJ;305
SBPQNMNVKHTOYZOM;EIQSFXEJSUBHNIDPXYGZNYMJDPUZVGFNYPVNQSH;SEGWSNQZJYEEIHCHBKGLCVXGDDLHYI;305
SDIVRQQLRSXHFJFCAJWXGGNXUZNF;ZJZIMOMRIVFEBJQQTTEEKQTVADHBUJYZKCRURJGYXOEVRWFTQUGKYD;SPAOVYMBYVCRAFQDRQPKVOZZ;305
SHPNVURKMTQVLVIEGFDWAJZBCFYBDR;IQMBACTJCFOGYSEJKFJHBFMRO;MSECRZSVSDL;305
TFTODDULXBPIWNGARKYTEXVOZGL;NUGSNIMSVHMYBMNACTC;ITNKRVLVUWZEXQXMOXUNZZHLQAIEH;305
TSKSTFYJDKBQQJECLUNNLVXDPUXNTQKCGZJUUUHSJSJOVR;CEWXBDLSTCAYSTPRVRFTUHUCUGSPNYZLWKSGMGJHAQTUQAXWZPHBUUAGWZE;VOTFFCURSHDEAGQXRCCXEVTINYTJPYRJVAX;305
ZHZWBLQZWUKIHALQKVEBXXZQGAJ;MMXDPPAJRZHWIAALINXXLCZCM;DEKXPGALELF;305
ZZQWPRPJCQWXJWNWPVKETWDXRQRFVVAITCT;WZPPUXOSJMUNLNZLGUBPVAXWFCJDKVQVABVZZSRHMWBM;EUZWIFPCRJWTV;305
DYDTZLYJESYZFKGGNLFWNDVUNEEUYAIYOTILOENG;XQDHULIAFAOPXRFHJCHDTFCZNKCWCXBHHTSYAXOIIALWESDCDYDBYSA;HGRBGMPJNHJWEHPCKSJHKVEEULDYSNVVHUALIESTNFIMPNGFA;304
HDUPRUGCLPTIPDZKQRUJJYJJDHLMMGRRHXCTUUSVWHLNBKI;OTBHZWSWGLQIARIOCGAZKDUUCOHKWWGGYDXXERM;HKZJLWUJSEVSDECULTAOEWKHRWUBHKVBDXXWOGUNMIVEEMG;304
HTJUCWQHCIVKVTTYDTUMVOUXKRDEXIMWNMLIUIA;WKPLUDVSCWJAZPB;FKLVARDCVQFTUNCXLJAHEDHEYNEECSZPR;304
JCCXHEFSVRDEPOGAAGSYHPEDTQHWTANAVOIEDHGRE;ADQRRRIXWPDULGCCMKVMF;HKNPMRBLNYFLZCNGRYPERXIFTTZLFFQEUNIUJZYXPUUBNLVLSZ;304
JCXFCRCGKWPIVFEPCNTO;WPEZKZITBRBDPPYDUNAJNWWKTTFTTNIUHHRNCGRKMXBYOZXTQDH;YNSQWLYBEWANYDRADDAWMNYVQGGGFUAVPENYJYSSQSHKVIOWYYZ;304
LVGCSYEQVDQSATGKNAK;NLNAOKRZHRBUDSBNMFNVDTETBLVPWEMMOQNVOMHELYKIXUFZMQMCHT;LXTYMJZHSIJTEKVNATKCGNQFDUMOOUKWOXHCSQLQQWRREGYFT;304
OTUBTAGGFFGFWCCLLNTSFFVXEKEPPPWNLQXDI;WZILBNQUHAAYMQLYQUGMFQYUXPIJOOPVYYGGB;NCOPXAYYDXLTYVKPMWGTUDREWQKFKD;304
RHNYYVULAYJWVFVFUNZA;BEOAJQWSIVTHSVBYOIJAGGMKOMFULSFQIZZRUSBJIYISNTTA;GZAJIYYPHGFKIQWDIJCXZHUE;304
TASDDDZJBMPKBXQKKVESXCTAFTM;WRGLTOHIJUCPP;APTYKFRVYVJARMEDGFIYTQSCJPRADUJUVNUJZHBBQOFFNZASBBA;304
VBWUWIEXKSXERIDYIAEQEZGNZ;GJVIHZUBSHUTNRNQMDAROQLBDVXXWOIUBQXFEIKVSDPBH;ATYXKQWFWVUYSNHXYRCLATSMOGZWUYHMCRPVOZEYREDU;304
VXAFVPNNIEKIGXGIZ;XHZMMPRPMBVKMOBUYDBJWZMCQAOMAEGQYWBXWIYS;ZUCBPCCGLLBQITITBQCTSZSNWTZFGBDMXQPMA;304
XQWDIBCGKUNSRDZZFHEXIKVRZQILZCWIORXPSURBYLWXAEIBVWOWIYDWK;KFZIARLRDUJHTMXOQLGAYXWSZBLVXUIA;IMAVZZEKNUJPFWWWPJNKGZVQKHMEEZHOZHHCSI;304
YORXWJXGGVEHRYYOLDXGXXMHSNIOSWVZHOWDAJQMBWQHHICDEOO;OSDBWSFTQQTXMFSXFSX;FIGHKVAEZBAZDWEJCMLQUJT;304
ZTAOVVAGOCWUGEKWLFPIO;RVDKOMKAWLEWNLIZQBOBYXSYBAEHXLQKXYBAFRMJHXDPRORTJTRUPO;AJNKOQBIHHAQ;304
BCONDOVPVLGKDFUXIRJJOPTKL;UAASCKYDNXBFESWKGAPT;GWFBYBOHUXAT;303
BFODOTFZTYNQWYXCIQGQJWNGY;COWMOBSCSO;DYEKZXELOPCIMYXJXKIVPOVJTNOEKSRVMHZMQOVCYTJHOTBIJR;303
BSAAORPWPLOKDXPG;FZPPXVRLLBDJZIYGFVZZASJXMIFBQXTIGHS;HULRWQEVGPDVSHMLSGKUJTXVWDDBMTMWWDCZNVBSKSKB;303
CVALNWYHHKBKIGQUFJBUWFWWKOOIUUMQGGYKVSBTKBOHYUCUQYMKZXO;FSQCBCDKYYYYQWCHYCHSLDGA;WOZELDIBMU;303
FHJYLMNNIXFHTNKSMIZRMHELFVGTWGF;NBBYDINKIHZEIBHGODIXKSGQPBQPLPBPGYTOKYLONJLFTWBROEJJFYLV;LMFQHHSFVQDOZGCADPTMQAEKMXPIBBMTJRM;303
FSIYDLPFUGEOGNLEPPBAPQIJDZPVDTAN;KVBFAAWAFFDYPBUFVTQFRTLEEMBCHIFWZPZCIR;NYGFKRQVHXICTQSYU;303
JAFZIIARWGOYEMQVMHWFEYVVXYOFLSSCGDXJIEPPTMYXKFICREXBL;IQQFYGKDIOCSH;QEGRVFNTLJSWPDGXBSUMAGSKQBXCRQYQJEZQQOVTKRKMCERGDUPB;303
NPQSYWFPCYYHBVEQYHFADFLE;VVYNNCSJGXFYLQQTNHBESYBKBYOPZX;AWRYFDGTYTXUFOWDSBOKZSGKRMQMYZZAVGMWEQM;303
OBLQTOYBANPTCFXQHNLMNLTDVUKDCXGXSKKCAIKMCBVVNBXMOVUP;IQRZCCHIPYEBQHPJDRCJLKZTNELJGNCXQCADNDDJHWQD;EAAFKUMPQNUYYQGGKWMOHRGMLIXZTLZXIMC;303
ORKGKDKPTHGECRDDVWCUSDBTLXLKFDOSRAO;TJZIIXIGHJXJAZTZGAYTLISZYJ;CDHRDBFJTFPQYTLIXZCFRFMSLEZTMAUUPEKJSN;303
QAKIANHBIWOLYCWNNMUQQAOYRFKWOCIYLKUGFBQGXEPSBEVDQIGCCY;GFHNHGJBCESE;BKKSDKOLLQESONIGCAWDIAPHPBITMVLJRSEF;303
TAVNUXZSRYOLNJA;ZFRICMHSMJPRJDHKZSFUOWRGAMSEISZBVZAPDZTWNRRTFDVBZCB;EQYHOYGRKWAOSTWOADVHTJVIDCDDNL;303
TKVJYEXLVVWIWRMMXBRIRYGFNMGCMDDJSUXSUAE;XHGGHQMTGFZOIPIGVCXCBUGXYPWUZFYJWNRIKHUWURONTMOVHGUVR;BBHWLBAEUWO;303
VPSYRKRAHLZLBGVJAJMKZEDEWOPYCBWURSPPBNGRGQZYHCEFRK;ROMKWYIRAPORUSDFJSA;HCKRNLXMZKDOUVQSUZXXAZVENLWTBUUSSPOTWLHVUCCJJYDXUROIB;303
VWNNUCFHALHYFFLGGZYEKDLUNFBAGWBHMFTNXY;YLRDAYEDSJGMCHWTDPLXDZUCPL;PFOMJNQJSZGNLBPKJOKHULOGIAMWQPMMWIBCNNVVFVOPHJUQVRTLRBDIH;303
YBCBPPMARFZPCYBJFWLUBTZNZBOJNULKVOTODUD;MKOWGYQVRCNHEUWTTRAFVEVLUHYXRFANGIEJIRNOCJDGQGMGKIL;JJOCHKEOXHUPSKAUVIEPUYARBIYLRQMHXJRRCEEMVKUF;303
YHDOUFQXMNQYQOTYHKYZTTOXKBPXVVBITKVGOUMJPMGNDTB;LAAEGQGODATFZWYPDHLLKWSYSFEWSMYXNPCIZWRADNOOBRS;XECOCKNSKBCTBQUWKXKXDKPDUFTV;303
ATLRVVVZRMCRYXTFULORLDIOVIXTPBONMPOQGNHPUL;FVPTMXWQBXDAWBOSJVYIEQSDFPLGCUSKOEJJKKB;SOJDLIADGZVLOVHZGTYPFUTZAQBPDLQHFNKBMYZZLDQJXKBTYNW;302
BYMMRMOQGGYMKUCAIUZIVTKBTYYPHLLYGGSFDKTGIQEZQKTV;LFPPYHUCVZUNLUECJQKINDCEEEAZSUIHXZMNAUQJROJCRYLQBVOA;MGZDRCUTXXAJKNBZIVFFGWRQZIDWSYZCMDRPKPWATEJUCCRVNRO;302
DRRWRBSJTMLQJSPSUXJFPFEFTCKBUHPAOWCRBKIENHKHYZEBWJMMAUBKJ;BGQMQFLIEMOHCYXYQFXAGVMQPVSXYIZY;ORIZDHZWGGK;302
EEFRWCDFIKKCENZFNWOSTOKLMUOZFWPPITHHIQUCSSJWMFVXEAVRHWXFLSQ;UOUDRADRDIYIRFKURPCCOCWNX;KNDRNMRJYVFAFMGBGAOLLBTGXKLOCUWLTEGPCGRBCEV;302
EFKILRCAUHWLBXNUWJYNUPPUMFW;EGVLKCKQIHRJEGPJEUOUTCSXVYP;ZUYYFZBUHOXFUBCPYFIUSBPG;302
GDDUUVQZBXDG;ELNYGCDUEPGSCAQPVLCHJESEHNKYLILBWAAGWIJ;KSEZDTZKCOPLOBNDUXUAHDAHO;302
HENBFRRKDOEOOKPORZHOSYYHSHTYJCAQTNDWUHDEQQFOXG;QISBJKAFSOJTLDIYLIVWAEVJNGBLK;RYYCUAXSQLEZDSCUOJECIYLYTKCTRHPBXWWUJNKP;302
KGHGFBOREDJG;NESJUUZOKNYVNFEJHGEYNJP;IQTEHWPZWMTHJZRUKKZZDEQEHNLHLYMKAFYLTKTMOX;302
QFIDSXJSENZQGFMRUHGESYIVGAQFWROCWQJCHVONURJPZAQHFNMIFZKAHK;SKCZSOGJOAYDQPMRMNJJWXLGZULFOVWJHIWEJBEHNDZAHYWKTBMXZRYJMTK;SRFALYUTSGJIIZABJABWZJGUDELJWFLXCBLWGPOHVBSNNKQJ;302
RYLBEDYBPZLYVTRFQ;MWPJAWSHNMBES;XBJCNOFQGNWTIYQLERHLFUGLOWQRUAI;302
SVTXVECKOSLWAVXRAOBU;BZEKJAQTCUGNVHTASHGKJONGRCSTZEALRBHAIXR;BJJEYJREOAKFSFGVELSEIYYAOJXVVIANUECFAOAANBZKBL;302
UPOIDMRHSKLZEJFA;ZUBXAMOYVXJZUPHWAIQPGSJBODPIBLXE;ASBTNQPEQKCSBALGDZURWHBOWLMYUXEKANQVYKPODHBVQNHRHTKBJKTMDN;302
XDHNOWXQKPYXQDZECITITPNERGF;MFURTUSPJE;FMGMPTQEAAIFVMHTYKJMVHEEHHIULYWRQWZBVWNECDHI;302
XLQMZUJTUHBYVUSXBAOXXWYBZAUASWJNJHSXOAFNFMHLTIFZHTFSRJSXQDF;FPBCPOQZAUCVJDZBEXTYJTXQNMIPBKBMNSPODEJDWJKPFDGGWVPIPCXJ;JFEFZTJEVYZZWPJTCCRN;302
YEJNAHYVHMTGUVNFUNVDEIAOZMZJWUGZ;DOJCGDXCPCXUIIYGTXCYLGLLQCXYVPJZJ;UUBDQHORGESNXCUZDOLWTJNTICIUYGSYC;302
ASQHTMWQTVTTBLDP;GFIZVLTUWEZICBRFPOUMFYMBXKXKKBLQJN;URGGIJFRYWWIWMTHTVPVRCQRSAPFQKUVHFTYABRXCWUXSZOGZYRYZDQZHJF;301
BLTZHSNBFNXYWXAIJWGGLNJKFQGFQRISBHNTSAAVLXDI;DALAMNFSCCNUYBFXKCLKRYGDYXHKOIGJLWXBJNYYWRJEJQXYQUMYQWREBOX;BRPPRTZDRNDZYNQMAXFDJKWCVHVCFVBIKIPSR;301
DXLHIKEYEYGSBUCWXBHZBFLNOILECXIHUKZZRVWSRWFTAI;IXBOSOTZPUMPEQCOSTHJUSCGEIAOXAMJCTTLZ;PEJSMXNPENL;301
EHKBNNQRSQXZOEWIREQ;VUSWOJWRCXSHVWJUCSAPCOSCYPVWPDEMBGFRYIJKKQAMDHYJM;KMDNSKKOEYPDJFRYCGDRFREJVINCPPLTLB;301
LUFUMYKBGDNVGHANHTOPUYDAQHQDBDVYDZXEHZBTOLIYNQO;BGKTQLRESECGMYSRKMMFQCULQVNIOTRQNXG;FWJQIBLSGPOBLLRTAGBQQECXYWBSJJRZMDVYEXUYENIGQCLEYFYLU;301
